LR.Index	CellCall	CellChat	CellPhoneDB	CytoTalk	ICELLNET	iTALK	NATMI	scMLnet	SinglecellsignalR	celltalkdb
A2M_LRP1	0	0	0	1	0	1	1	1	1	1
AANAT_MTNR1A	0	0	0	1	0	1	1	1	1	1
AANAT_MTNR1B	0	0	0	1	0	1	1	1	1	1
ACE2_SLC6A19	0	0	0	0	0	0	0	0	0	1
ACE_AGTR2	0	0	0	1	0	1	0	1	1	1
ACE_BDKRB2	0	0	0	1	0	1	1	1	1	1
ACTR2_ADRB2	0	0	0	0	0	0	0	0	1	1
ACTR2_LDLR	0	0	0	0	0	0	0	0	1	1
ACTR2_LRP2	0	0	0	0	0	0	0	0	1	1
ADAM10_AXL	0	0	0	1	0	1	0	1	1	1
ADAM10_CADM1	0	0	0	0	0	0	0	0	0	1
ADAM10_CD44	0	0	0	0	0	0	0	0	0	1
ADAM10_EFNA3	0	0	0	0	0	0	0	0	1	0
ADAM10_EPHA3	0	0	0	1	0	1	1	1	1	1
ADAM10_GPNMB	0	0	0	0	0	0	0	0	0	1
ADAM10_IL6R	0	0	0	0	0	0	0	0	0	1
ADAM10_MET	0	0	0	0	0	0	0	0	0	1
ADAM10_NOTCH1	0	0	0	0	0	0	0	0	1	1
ADAM10_NOTCH2	0	0	0	0	0	0	0	0	0	1
ADAM10_NRCAM	0	0	0	0	0	0	0	0	0	1
ADAM10_TREM2	0	0	0	0	0	0	0	0	0	1
ADAM10_TSPAN10	0	0	0	0	0	0	0	0	0	1
ADAM10_TSPAN12	0	0	0	0	0	0	0	0	0	1
ADAM10_TSPAN14	0	0	0	0	0	0	0	0	0	1
ADAM10_TSPAN15	0	0	0	0	0	0	0	0	0	1
ADAM10_TSPAN17	0	0	0	0	0	0	0	0	0	1
ADAM10_TSPAN5	0	0	0	0	0	0	0	0	0	1
ADAM11_ITGA4	0	0	0	0	0	0	1	0	0	0
ADAM12_ITGA9	0	0	0	1	0	1	1	1	1	1
ADAM12_ITGB1	0	0	0	1	0	1	1	1	1	1
ADAM12_SDC4	0	0	0	1	0	1	1	1	1	1
ADAM15_ITGA5	0	0	0	1	0	1	1	1	1	1
ADAM15_ITGA9	0	0	0	1	0	1	1	1	1	1
ADAM15_ITGAV	0	0	0	1	0	1	1	1	1	1
ADAM15_ITGB1	0	0	0	1	0	1	1	1	1	1
ADAM15_ITGB3	0	0	0	1	0	1	1	1	1	1
ADAM17_ERBB4	0	0	0	1	0	1	0	1	1	1
ADAM17_IL6R	0	0	0	0	0	0	0	0	0	1
ADAM17_ITGA5	0	0	0	1	0	1	1	1	1	1
ADAM17_ITGB1	0	0	0	1	0	1	1	1	1	1
ADAM17_MET	0	0	0	0	0	0	0	0	0	1
ADAM17_MUC1	0	0	0	0	0	0	0	0	0	1
ADAM17_NOTCH1	1	0	0	1	0	1	1	1	1	1
ADAM17_RHBDF2	0	0	0	0	0	0	0	0	0	1
ADAM23_ITGA4	0	0	0	0	0	0	1	0	0	0
ADAM23_ITGA5	0	0	0	1	0	1	1	1	1	0
ADAM23_ITGB3	0	0	0	1	0	1	1	1	1	0
ADAM28_ITGA4	0	0	0	1	0	1	1	1	1	1
ADAM29_ITGA4	0	0	0	0	0	0	1	0	0	0
ADAM2_CD9	0	0	0	1	0	1	0	1	1	1
ADAM2_ITGA6	0	0	0	1	0	1	1	1	1	1
