LR.Index	CellChat	CytoTalk	celltalkdb
A2m_Lrp1	0	1	0
Aanat_Mtnr1a	0	1	0
Aanat_Mtnr1b	0	1	0
Ace_Agtr2	0	1	0
Ace_Bdkrb2	0	1	0
Ada_Adora1	0	0	1
Ada_Adora2b	0	0	1
Ada_Dpp4	0	0	1
Adam10_Axl	0	1	1
Adam10_Cadm1	0	0	1
Adam10_Epha3	0	1	1
Adam10_Erbb2	0	0	1
Adam10_Fcer2a	0	0	1
Adam10_Gpnmb	0	0	1
Adam10_Il6ra	0	0	1
Adam10_Itgav	0	0	1
Adam10_Lrp1	0	0	1
Adam10_Notch1	0	0	1
Adam10_Notch3	0	0	1
Adam10_Tspan10	0	0	1
Adam10_Tspan14	0	0	1
Adam10_Tspan15	0	0	1
Adam10_Tspan17	0	0	1
Adam10_Tspan5	0	0	1
Adam12_Epha1	0	0	1
Adam12_Itga9	0	1	1
Adam12_Itgb1	0	1	1
Adam12_Sdc4	0	1	1
Adam12_Tgfbr2	0	0	1
Adam15_Itga5	0	1	0
Adam15_Itga9	0	1	1
Adam15_Itgav	0	1	1
Adam15_Itgb1	0	1	1
Adam15_Itgb3	0	1	0
Adam17_Aplp2	0	0	1
Adam17_Cd40	0	0	1
Adam17_Cd9	0	0	1
Adam17_Erbb4	0	1	1
Adam17_Ghr	0	0	1
Adam17_Itga5	0	1	1
Adam17_Itga6	0	0	1
Adam17_Itgb1	0	1	1
Adam17_Itgb6	0	0	1
Adam17_Nectin4	0	0	1
Adam17_Notch1	0	1	1
Adam17_Notch2	0	0	1
Adam17_Rhbdf2	0	0	1
Adam17_Tnfrsf1a	0	0	1
Adam17_Tnfrsf1b	0	0	1
Adam23_Itga5	0	1	0
Adam23_Itgb3	0	1	0
Adam28_Itga4	0	1	0
Adam2_Cd9	0	1	1
Adam2_Itga6	0	1	1
Adam2_Itga9	0	1	1
Adam2_Itgb1	0	1	1
Adam2_Itgb7	0	1	1
Adam3_Cd9	0	0	1
Adam9_Itga3	0	1	0
Adam9_Itga6	0	1	1
Adam9_Itgav	0	1	1
Adam9_Itgb1	0	1	1
